,Ticker,Date,Length(days),Total Trades,Total Quotes,Mean Returns(Trades),Mean Returns(Quotes),Trade Quote Ratio,Median Returns(Trades),Median Returns(Quote),Standard Deviation(Trades),Standard Deviation(Quotes),Mean Absolute Deviation(Trades),Mean Absolute Deviation(Quotes),Skew(Trades),Skew(Quotes),Kurtosis(Trades),Kurtosis(Quotes),10 Largest Returns(Trades),10 Largest Returns(Quotes),10 Smallest Returns(Trades),10 Smallest Returns(Quotes),Maximum Drawdown(Trades),Maximum Drawdown(Quotes)
57,SUNW,20070911,58,2027556,3474248,0.02142,0.0189,0.5836,0.02142,0.0189,3.28734,3.03282,3.28734,3.03282,0.0,0.0,-2.0,-2.0,[-3.26592  3.30876],[-3.01392  3.05172],[-3.26592  3.30876],[-3.01392  3.05172],-0.0,-0.0
58,SUNW,20070912,59,2067117,3569126,0.02142,0.0189,0.57917,0.02142,0.0189,3.28734,3.03282,3.28734,3.03282,0.0,0.0,-2.0,-2.0,[-3.26592  3.30876],[-3.01392  3.05172],[-3.26592  3.30876],[-3.01392  3.05172],-0.0,-0.0
59,SUNW,20070913,60,2106678,3664004,0.02142,0.0189,0.57497,0.02142,0.0189,3.28734,3.03282,3.28734,3.03282,0.0,0.0,-2.0,-2.0,[-3.26592  3.30876],[-3.01392  3.05172],[-3.26592  3.30876],[-3.01392  3.05172],-0.0,-0.0
60,SUNW,20070914,61,2146239,3758882,0.02142,0.0189,0.57098,0.02142,0.0189,3.28734,3.03282,3.28734,3.03282,0.0,0.0,-2.0,-2.0,[-3.26592  3.30876],[-3.01392  3.05172],[-3.26592  3.30876],[-3.01392  3.05172],-0.0,-0.0
61,SUNW,20070917,62,2185800,3853760,0.02142,0.0189,0.56719,0.02142,0.0189,3.28734,3.03282,3.28734,3.03282,0.0,0.0,-2.0,-2.0,[-3.26592  3.30876],[-3.01392  3.05172],[-3.26592  3.30876],[-3.01392  3.05172],-0.0,-0.0
62,SUNW,20070918,63,2225361,3948638,0.02142,0.0189,0.56358,0.02142,0.0189,3.28734,3.03282,3.28734,3.03282,0.0,0.0,-2.0,-2.0,[-3.26592  3.30876],[-3.01392  3.05172],[-3.26592  3.30876],[-3.01392  3.05172],-0.0,-0.0
63,SUNW,20070919,64,2264922,4043516,0.02142,0.0189,0.56014,0.02142,0.0189,3.28734,3.03282,3.28734,3.03282,0.0,0.0,-2.0,-2.0,[-3.26592  3.30876],[-3.01392  3.05172],[-3.26592  3.30876],[-3.01392  3.05172],-0.0,-0.0
64,SUNW,20070920,65,2304483,4138394,0.02142,0.0189,0.55685,0.02142,0.0189,3.28734,3.03282,3.28734,3.03282,0.0,0.0,-2.0,-2.0,[-3.26592  3.30876],[-3.01392  3.05172],[-3.26592  3.30876],[-3.01392  3.05172],-0.0,-0.0
65,ADP,20070620,1,7458,24374,-0.85188,-0.89116,0.30598,-0.85188,-0.89116,0.7962,0.83504,0.7962,0.83504,0.0,0.0,-2.0,-2.0,[-1.64808    -0.05568609],[-1.7262     -0.05611395],[-1.64808    -0.05568609],[-1.7262     -0.05611395],-1.64808,-1.7262
66,ADP,20070621,2,14071,48428,0.52038,0.5607,0.29056,0.52038,0.5607,0.83034,1.33938,0.83034,1.33938,0.0,0.0,-2.0,-2.0,[-0.30996  1.35072],[-0.77868  1.90008],[-0.30996  1.35072],[-0.77868  1.90008],0.0,0.0
67,ADP,20070622,3,21322,77462,-0.48888,-0.504,0.27526,-0.48888,-0.504,0.80136,0.45108,0.80136,0.45108,0.0,-0.0,-2.0,-2.0,[-1.29024  0.31248],[-0.95508 -0.05292],[-1.29024  0.31248],[-0.95508 -0.05292],-0.0,-0.05292
68,ADP,20070625,4,28362,101315,-1.27134,-1.25874,0.27994,-1.27134,-1.25874,0.85302,0.81774,0.85302,0.81774,0.0,-0.0,-2.0,-2.0,[-2.12436 -0.41832],[-2.07648 -0.441  ],[-2.12436 -0.41832],[-2.07648 -0.441  ],-0.0,-2.07648
69,ADP,20070626,5,35475,127892,0.10584,0.05292,0.27738,0.10584,0.05292,0.6804,0.83664,0.6804,0.83664,0.0,0.0,-2.0,-2.0,[-0.57456  0.78624],[-0.78372  0.88956],[-0.57456  0.78624],[-0.78372  0.88956],-0.57456,-0.78372
70,ADP,20070627,6,43511,154162,0.24192,0.28098,0.28224,0.24192,0.28098,1.75896,1.7199,1.75896,1.7199,0.0,0.0,-2.0,-2.0,[-1.51704  2.00088],[-1.43892  2.00088],[-1.51704  2.00088],[-1.43892  2.00088],-0.0,-0.0
71,ADP,20070628,7,51177,176009,0.73206,0.75852,0.29076,0.73206,0.75852,0.99414,1.12392,0.99414,1.12392,0.0,0.0,-2.0,-2.0,[-0.26208  1.7262 ],[-0.3654   1.88244],[-0.26208  1.7262 ],[-0.3654   1.88244],0.0,0.0
